unix,open,high,low,close,volume,MA_20,EMA_20,RSI,macd,macdsignal,macdhist
1575637200000,146.61,146.86,146.14,146.3,6258.31602,147.35649999999998,147.06879905462253,42.077157308934254,-0.06363890223209978,0.1395258230084358,-0.20316472524053558
1575640800000,146.3,146.96,146.23,146.61,7647.19282,147.341,147.02502394366115,45.793126075633154,-0.08802944947836977,0.09401476851107468,-0.18204421798944445
1575644400000,146.62,147.73,146.51,147.21,16488.15248,147.3215,147.04266987446687,52.186718898338626,-0.05827242011883982,0.06355733078509178,-0.1218297509039316
1575648000000,147.23,147.53,146.81,147.13,8160.96555,147.2815,147.05099948459065,51.317597685787,-0.04067620144550688,0.04271062433897205,-0.08338682578447892
1575651600000,147.13,149.77,147.12,148.37,23096.43481,147.308,147.17678876102593,61.907199704978076,0.07249093513840421,0.04866668649885848,0.023824248639545728
1575655200000,148.29,148.78,147.67,148.61,20111.62721,147.3485,147.31345235232143,63.55941710935695,0.17947383775955927,0.07482811675099865,0.10464572100856062
1575658800000,148.6,148.71,147.88,148.11,7716.25052,147.349,147.38939814090025,57.922814763269,0.2213610254227376,0.10413469848534644,0.11722632693739117
1575662400000,148.1,148.24,147.8,147.81,3444.84042,147.368,147.42949563845224,54.783579731844,0.22772436589477252,0.12885263196723165,0.09887173392754087
1575666000000,147.81,148.31,147.8,148.07,2466.23981,147.38,147.4905514051759,56.96067007628356,0.25085548032848237,0.1532532016394818,0.09760227868900057
1575669600000,148.09,148.78,148.08,148.36,5717.64409,147.4135,147.57342400786368,59.313753037502124,0.2892532995534225,0.18045322122226995,0.10880007833115254
1575673200000,148.36,148.88,147.75,148.45,10122.88036,147.473,147.65696943583558,60.043856646816984,0.32322021433589043,0.20900661984499405,0.11421359449089638
1575676800000,148.46,148.93,148.24,148.31,5653.38616,147.5085,147.71920460980925,58.29153993555495,0.3349809570932507,0.23420148729464538,0.10077946979860533
1575680400000,148.3,148.72,148.05,148.22,4552.07921,147.5455,147.7669284005691,57.137125970663895,0.3331982802553455,0.2540008458867854,0.07919743436856008
1575684000000,148.22,148.68,148.22,148.59,5549.64495,147.60150000000002,147.84535928015964,60.592381212571325,0.35752013423984863,0.27470470355739807,0.08281543068245056
1575687600000,148.59,148.65,148.27,148.39,4489.09953,147.6345,147.8972556322975,57.876480343900994,0.35654699836740633,0.29107316251939974,0.06547383584800659
1575691200000,148.37,149.49,148.37,148.84,9880.90203,147.705,147.987081225089,62.00324415646472,0.38761879221814866,0.3103822884591495,0.07723650375899915
1575694800000,148.84,149.18,148.62,148.87,6535.29921,147.78900000000002,148.07120297143598,62.26863194660712,0.409938644469122,0.330293559661144,0.079645084807978
1575698400000,148.86,148.99,148.44,148.53,3766.79535,147.8945,148.11491402563263,57.37740651302142,0.39563153561195463,0.34336115485130614,0.052270380760648494
1575702000000,148.47,148.67,148.37,148.48,4248.94787,147.99399999999997,148.14969570874058,56.672395828429366,0.37592503681375433,0.3498739312437958,0.026051105569958544
1575705600000,148.47,148.72,147.14,147.8,12348.8161,148.053,148.11638131143326,48.02904184979451,0.30195641197968826,0.34029042739097426,-0.038334015411286004
1575709200000,147.78,147.98,147.49,147.55,10013.60258,148.11550000000003,148.0624255160722,45.29398096155839,0.22061966703012104,0.3163562753188036,-0.09573660828868258
1575712800000,147.53,148.07,147.26,147.79,9239.72129,148.17450000000002,148.03647382391628,48.33563680743186,0.17352541196106586,0.2877901026472561,-0.11426469068619022
1575716400000,147.79,148.25,147.68,147.92,9482.19966,148.20999999999998,148.02537860125813,49.95864537596011,0.1450210763717621,0.25923629739215726,-0.11421522102039516
1575720000000,147.94,148.17,147.8,147.8,5691.58651,148.24349999999998,148.00390963519,48.445753049493476,0.11146330830186457,0.22968169957409873,-0.11821839127223416
1575723600000,147.81,148.0,147.46,147.66,6421.03644,148.208,147.9711503485594,46.6700627431406,0.07273328137185331,0.19829201593364965,-0.12555873456179634
1575727200000,147.65,148.55,147.6,148.25,8245.29292,148.19,147.99771185097842,54.27617492876996,0.08862590094096845,0.17635879293511342,-0.08773289199414497
1575730800000,148.25,148.47,147.93,148.28,5428.77862,148.1985,148.0246004599446,54.630506225767284,0.1024605641254368,0.1615791471731781,-0.059118583047741285
1575734400000,148.25,148.42,147.62,147.73,4467.31545,148.1945,147.99653947439796,47.38116109191829,0.06825740207193576,0.14291479815292962,-0.07465739608099387
1575738000000,147.73,148.06,147.47,147.9,3498.92407,148.186,147.98734411243504,49.60705375151833,0.054243444314124645,0.12518052738516863,-0.07093708307104399
1575741600000,147.9,147.98,147.31,147.55,3309.56225,148.1455,147.94568767579727,45.353270354769755,0.014725460950415936,0.1030895140982181,-0.08836405314780216
1575745200000,147.55,147.97,147.35,147.86,3463.76318,148.116,147.9375261264384,49.48498884377403,0.008325611181675185,0.08413673351490951,-0.07581112233323432
1575748800000,147.86,147.86,147.1,147.3,3992.0466,148.0655,147.87680384392576,43.139658122549854,-0.04145575956226821,0.059018234899473956,-0.10047399446174217
1575752400000,147.29,147.34,146.85,146.99,4692.88995,148.004,147.79233940233962,40.076110069170014,-0.10471517242933714,0.026271553433711736,-0.13098672586304888
1575756000000,146.99,147.69,146.91,147.61,2764.37096,147.95499999999998,147.77497245529213,48.025804768450236,-0.10362536573052239,0.0002921696008649083,-0.1039175353313873
1575759600000,147.6,147.76,147.0,147.14,2735.62499,147.89249999999998,147.71449482473463,43.33273115042169,-0.1390834902174447,-0.027582962362797017,-0.11150052785464769
1575763200000,147.16,147.63,146.67,147.47,6603.86047,147.824,147.69120818775113,47.23175700447292,-0.13895428871612125,-0.04985722763346187,-0.08909706108265938
1575766800000,147.47,147.53,147.0,147.45,9606.05441,147.753,147.6682347158549,47.020596492393516,-0.13886497940634968,-0.06765877798803943,-0.07120620141831024
1575770400000,147.44,147.46,146.95,147.19,5302.76542,147.686,147.62268628586708,44.25092059952999,-0.15795324157781465,-0.08571767070599448,-0.07223557087182017
1575774000000,147.22,147.23,146.11,146.69,6487.50647,147.59650000000002,147.53385502113144,39.439695170892676,-0.2109944356827782,-0.11077302370135123,-0.10022141198142698
1575777600000,146.69,147.19,146.36,146.83,3825.74133,147.548,147.4668184788791,41.36214144757332,-0.2389783406290178,-0.13641408708688454,-0.10256425354213325
1575781200000,146.86,147.12,146.72,146.94,3069.29741,147.51749999999998,147.41664344120142,42.895988687372885,-0.2494047238133703,-0.1590122144321817,-0.09039250938118862
1575784800000,146.93,147.22,146.9,147.13,2426.33076,147.4845,147.38934315551495,45.5456024121055,-0.23957462831603493,-0.17512469720895235,-0.06444993110708258
1575788400000,147.14,147.28,146.86,147.01,3764.81686,147.43900000000002,147.3532141459486,44.15218735093775,-0.23871544092278896,-0.18784284595171968,-0.050872594971069274
1575792000000,147.0,147.08,146.89,147.02,4535.05471,147.4,147.32147859912232,44.30510333699985,-0.23452416372384732,-0.1971791095061452,-0.03734505421770212
1575795600000,147.02,148.75,146.96,148.14,27183.18069,147.424,147.39943494350703,58.132165762462286,-0.13922303014948056,-0.18558789363481226,0.0463648634853317
1575799200000,148.14,148.44,147.8,148.14,8666.61109,147.41850000000002,147.46996652488068,58.132165762462286,-0.06297031261800612,-0.16106437743145102,0.0980940648134449
1575802800000,148.14,148.51,147.85,148.14,6447.08599,147.4115,147.5337805268899,58.13216576246229,-0.0025105446076452154,-0.12935361086668987,0.12684306625904465
1575806400000,148.16,148.28,147.8,147.91,5273.21458,147.4205,147.5696116082896,54.65211666380417,0.026539251350385484,-0.0981750384232748,0.12471428977366028
1575810000000,147.9,149.03,147.88,148.54,7653.73015,147.4525,147.66203107981386,61.45821326385848,0.09925303164402521,-0.05868942440981479,0.15794245605384
1575813600000,148.55,148.71,148.18,148.6,4922.84482,147.50500000000002,147.75136279072606,62.04251066031934,0.15987775373568525,-0.01497598878071478,0.1748537425164
1575817200000,148.61,151.5,148.57,150.68,31682.38563,147.64600000000002,148.0302843987245,75.7611469236684,0.37147971259685164,0.06231515149479851,0.30916456110205315
1575820800000,150.68,150.97,149.89,150.29,13991.82208,147.7955,148.24549804619738,70.6082122839577,0.5019202249513341,0.15023616618610564,0.3516840587652285
1575824400000,150.3,151.0,150.28,150.76,11159.34561,147.98399999999998,148.4849770784463,72.99225661074405,0.6358901964546817,0.24736697223982085,0.38852322421486085
1575828000000,150.76,151.62,150.42,150.72,13043.66661,148.1395,148.6978385400184,72.45362078695237,0.7304149297242191,0.3439765637367005,0.3864383659875186
1575831600000,150.72,150.87,150.02,150.42,6959.42429,148.3035,148.8618554060681,68.37811499314745,0.7722173283858069,0.4296247166665218,0.3425926117192851
1575835200000,150.42,150.9,150.12,150.89,5009.86808,148.47449999999998,149.05501362051388,71.11902374280194,0.8336611754467924,0.510432008422576,0.32322916702421645
1575838800000,150.88,150.99,150.6,150.65,4043.75291,148.6345,149.20691821403213,67.88332560032005,0.8531552302615637,0.5789766527903735,0.27417857747119023
1575842400000,150.63,151.22,150.41,151.21,5136.76559,148.8355,149.39768919054418,71.17837646487166,0.9033781480763992,0.6438569518475786,0.2595211962288205
1575846000000,151.21,151.4,150.3,150.44,8506.47664,149.023,149.4969574905304,61.79100141515107,0.8710071788649429,0.6892869972510515,0.18172018161389147
1575849600000,150.44,151.09,150.25,150.62,8967.4427,149.2125,149.60391450865802,63.01884494630797,0.8500782750227529,0.7214452528053917,0.12863302221736117
1575853200000,150.61,150.68,149.52,149.79,8749.7155,149.355,149.62163702465406,54.346453883054615,0.7577826577672226,0.7287127337977579,0.029069923969464728
1575856800000,149.78,150.24,149.42,150.21,13343.80989,149.509,149.67767184618597,57.53133281035796,0.7103398504272036,0.725038157123647,-0.014698306696443453
1575860400000,150.19,150.44,149.82,150.31,3513.39831,149.674,149.73789382059658,58.27764851570279,0.673051726722889,0.7146408710434955,-0.04158914432060645
1575864000000,150.3,150.96,150.04,150.12,7118.79033,149.829,149.77428501951158,56.25485189547125,0.6210105844847931,0.695914813731755,-0.07490422924696194
1575867600000,150.1,150.46,149.85,149.98,6768.62703,149.921,149.79387698778856,54.74696297617645,0.5619924749308893,0.6691303459715818,-0.1071378710406925
1575871200000,150.0,150.37,149.72,150.07,9673.94216,150.01749999999998,149.820174496914,55.57142546438868,0.5165282298395937,0.6386099227451842,-0.12208169290559057
1575874800000,150.02,150.09,149.1,149.31,13391.11189,150.076,149.7715863168733,47.67283002831963,0.41439495257614567,0.5937669287113765,-0.17937197613523082
1575878400000,149.31,149.35,148.79,149.0,11405.41853,150.1305,149.69810172414003,44.87127275020408,0.3049242088218591,0.535998384733473,-0.23107417591161394
1575882000000,149.0,149.31,148.91,148.97,7312.23193,150.152,149.6287585477463,44.598130132760346,0.2132884499395118,0.4714563977746808,-0.258167947835169
1575885600000,148.97,149.55,148.88,149.29,8061.98987,150.18649999999997,149.59649576364595,48.218937677518625,0.16459047987567033,0.4100832141948787,-0.24549273431920837
1575889200000,149.32,149.7,149.09,149.12,8455.8932,150.1085,149.55111513166597,46.48097720372852,0.11099987108062237,0.3502665455720274,-0.23926667449140504
1575892800000,149.14,150.19,149.0,150.06,8796.68578,150.097,149.59958043748057,55.93792188615866,0.14273372605794066,0.30875998166921004,-0.16602625561126938
1575896400000,150.03,150.36,149.69,149.7,8856.54761,150.044,149.60914421966893,52.13814921553428,0.13725188906229846,0.27445836314782773,-0.13720647408552927
1575900000000,149.7,150.31,149.63,150.21,7855.89323,150.0185,149.66636865727386,56.63250999958055,0.1720766391191546,0.2539820183420931,-0.0819053792229385
1575903600000,150.22,151.19,147.0,148.02,49219.33468,149.89849999999998,149.50957144998446,39.485876947211565,0.022699145413042743,0.20772544375628305,-0.1850262983432403
1575907200000,148.03,148.32,147.04,147.64,12780.16868,149.736,149.33151682859176,37.37152154967477,-0.12490657353521328,0.14119904029798377,-0.2661056138331971
1575910800000,147.65,148.08,147.55,148.07,5088.78859,149.607,149.21137224810056,41.20792714617367,-0.20482664879625645,0.07199390247913572,-0.2768205512753922
1575914400000,148.05,148.15,147.85,148.14,4124.49213,149.4535,149.10933670321324,41.83259137827851,-0.2595238399689208,0.005690353989524402,-0.2652141939584452
1575918000000,148.13,148.33,147.0,147.33,9601.93368,149.29799999999997,148.93987592553734,36.941417670112116,-0.3640356126544191,-0.0682548393392643,-0.2957807733151548
1575921600000,147.34,147.83,146.56,146.8,14558.96533,149.107,148.7360780668,34.129492955718135,-0.48404870393045485,-0.1514136122575024,-0.33263509167295247
1575925200000,146.78,147.67,146.62,147.35,6445.14302,148.98499999999999,148.60407054305495,39.2936096143449,-0.5286851862244362,-0.22686792705088918,-0.30181725917354696
1575928800000,147.33,147.49,146.8,147.16,6201.42995,148.8325,148.4665399314296,38.18004089698614,-0.5727885819108849,-0.2960520580228883,-0.2767365238879966
1575932400000,147.19,147.72,147.09,147.38,3484.23847,148.68599999999998,148.36305988097035,40.290102736005636,-0.5832651616434532,-0.3534946787470013,-0.2297704828964519
1575936000000,147.4,147.76,147.2,147.7,5098.37375,148.565,148.2999112894122,43.3205324288217,-0.5592993462015272,-0.39465561223790646,-0.16464373396362075
1575939600000,147.69,148.57,146.18,147.11,20861.90554,148.42149999999998,148.18658635361646,39.35464315886565,-0.5812144555139582,-0.4319673808931168,-0.1492470746208414
