,CL=F,RUB=X
2021-12-22 21:00:00+00:00,73.02999877929688,73.62310028076172
2021-12-22 23:00:00+00:00,73.08000183105469,73.59929656982422
2021-12-23 00:00:00+00:00,72.91999816894531,73.61869812011719
2021-12-23 01:00:00+00:00,73.08000183105469,73.5999984741211
2021-12-23 02:00:00+00:00,73.13999938964844,73.60379791259766
2021-12-23 03:00:00+00:00,72.88999938964844,73.50299835205078
2021-12-23 04:00:00+00:00,72.94999694824219,73.54830169677734
2021-12-23 05:00:00+00:00,72.91999816894531,73.53600311279297
2021-12-23 06:00:00+00:00,72.8499984741211,73.52999877929688
2021-12-23 07:00:00+00:00,72.7699966430664,73.3230972290039
2021-12-23 08:00:00+00:00,72.5199966430664,73.26300048828125
2021-12-23 09:00:00+00:00,72.58000183105469,73.29399871826172
2021-12-23 10:00:00+00:00,72.7699966430664,73.41100311279297
2021-12-23 11:00:00+00:00,72.94999694824219,73.52932739257812
2021-12-23 12:00:00+00:00,73.0,73.54044342041016
2021-12-23 13:00:00+00:00,73.0999984741211,73.5447998046875
2021-12-23 14:00:00+00:00,72.94000244140625,73.4844970703125
2021-12-23 15:00:00+00:00,73.08000183105469,73.39520263671875
2021-12-23 16:00:00+00:00,73.63999938964844,73.38099670410156
2021-12-23 17:00:00+00:00,73.6500015258789,73.3239974975586
2021-12-23 18:00:00+00:00,73.62000274658203,73.3327407836914
2021-12-23 19:00:00+00:00,73.80999755859375,73.33000183105469
2021-12-23 20:00:00+00:00,73.80999755859375,73.27999877929688
2021-12-23 21:00:00+00:00,73.76000213623047,73.43219757080078
2021-12-27 00:00:00+00:00,73.33000183105469,73.61940002441406
2021-12-27 01:00:00+00:00,73.22000122070312,73.46109771728516
2021-12-27 02:00:00+00:00,73.37000274658203,73.43119812011719
2021-12-27 03:00:00+00:00,73.30000305175781,73.57430267333984
2021-12-27 04:00:00+00:00,73.19000244140625,73.49669647216797
2021-12-27 05:00:00+00:00,73.02999877929688,73.51499938964844
2021-12-27 06:00:00+00:00,72.91000366210938,73.33580017089844
2021-12-27 07:00:00+00:00,72.95999908447266,73.26510620117188
2021-12-27 08:00:00+00:00,72.9800033569336,73.24510192871094
2021-12-27 09:00:00+00:00,73.01000213623047,73.47949981689453
2021-12-27 10:00:00+00:00,73.0,73.4906997680664
2021-12-27 11:00:00+00:00,72.79000091552734,73.48200225830078
2021-12-27 12:00:00+00:00,72.75,73.5342025756836
2021-12-27 13:00:00+00:00,73.44000244140625,73.51959991455078
2021-12-27 14:00:00+00:00,73.55000305175781,73.597900390625
2021-12-27 15:00:00+00:00,75.83000183105469,73.50650024414062
2021-12-27 16:00:00+00:00,75.83999633789062,73.46070098876953
2021-12-27 17:00:00+00:00,75.58000183105469,73.4990005493164
2021-12-27 18:00:00+00:00,75.69999694824219,73.51699829101562
2021-12-27 19:00:00+00:00,75.54000091552734,73.497802734375
2021-12-27 20:00:00+00:00,75.80000305175781,73.42070007324219
2021-12-27 21:00:00+00:00,75.94000244140625,73.44239807128906
2021-12-27 23:00:00+00:00,75.83000183105469,73.37079620361328
2021-12-28 00:00:00+00:00,75.76000213623047,73.3926010131836
2021-12-28 01:00:00+00:00,75.77999877929688,73.38279724121094
2021-12-28 02:00:00+00:00,75.83999633789062,73.42839813232422
2021-12-28 03:00:00+00:00,75.77999877929688,73.23500061035156
2021-12-28 04:00:00+00:00,75.79000091552734,73.4530029296875
2021-12-28 05:00:00+00:00,75.87999725341797,73.39849853515625
2021-12-28 06:00:00+00:00,76.18000030517578,73.4032974243164
2021-12-28 07:00:00+00:00,75.61000061035156,73.53510284423828
2021-12-28 08:00:00+00:00,75.91999816894531,73.5927963256836
2021-12-28 09:00:00+00:00,76.16000366210938,73.614501953125
2021-12-28 10:00:00+00:00,76.75,73.57499694824219
2021-12-28 11:00:00+00:00,76.68000030517578,73.54190063476562
2021-12-28 12:00:00+00:00,76.66999816894531,73.6356430053711
2021-12-28 13:00:00+00:00,76.27999877929688,73.64240264892578
2021-12-28 14:00:00+00:00,76.2300033569336,73.82470703125
2021-12-28 15:00:00+00:00,76.0199966430664,73.77973937988281
2021-12-28 16:00:00+00:00,76.08999633789062,73.73200225830078
2021-12-28 17:00:00+00:00,75.94000244140625,73.73393249511719
2021-12-28 18:00:00+00:00,76.0,73.73999786376953
2021-12-28 19:00:00+00:00,75.91999816894531,73.71099853515625
2021-12-28 20:00:00+00:00,75.97000122070312,73.73500061035156
2021-12-28 21:00:00+00:00,76.05000305175781,73.552001953125
2021-12-28 23:00:00+00:00,76.12999725341797,73.6449966430664
2021-12-29 00:00:00+00:00,76.25,73.70829772949219
2021-12-29 01:00:00+00:00,76.11000061035156,73.64459991455078
2021-12-29 02:00:00+00:00,75.9800033569336,73.69550323486328
2021-12-29 03:00:00+00:00,75.98999786376953,73.72899627685547
2021-12-29 04:00:00+00:00,75.94999694824219,73.74819946289062
2021-12-29 05:00:00+00:00,75.94000244140625,73.71849822998047
2021-12-29 06:00:00+00:00,76.13999938964844,73.78479766845703
2021-12-29 07:00:00+00:00,76.16999816894531,73.66940307617188
2021-12-29 08:00:00+00:00,76.16999816894531,73.64700317382812
2021-12-29 09:00:00+00:00,76.0,73.66449737548828
2021-12-29 10:00:00+00:00,75.86000061035156,73.80680847167969
2021-12-29 11:00:00+00:00,75.55000305175781,73.71320343017578
2021-12-29 12:00:00+00:00,75.4800033569336,73.92150115966797
2021-12-29 13:00:00+00:00,75.7300033569336,74.03199768066406
2021-12-29 14:00:00+00:00,75.83000183105469,73.98223114013672
