Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,CL=F,RUB=X,RUB=X,RUB=X,RUB=X,RUB=X,RUB=X
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2023-04-03,80.0999984741211,81.69000244140625,79.0,80.41999816894531,80.41999816894531,547126.0,77.96499633789062,78.82649993896484,77.375,77.96499633789062,77.96499633789062,0.0
2023-04-04,80.44000244140625,81.80999755859375,79.61000061035156,80.70999908447266,80.70999908447266,343570.0,78.61499786376953,80.02149963378906,78.61499786376953,78.61499786376953,78.61499786376953,0.0
2023-04-05,81.01000213623047,81.23999786376953,79.72000122070312,80.61000061035156,80.61000061035156,254974.0,79.26499938964844,80.44999694824219,79.17500305175781,79.26499938964844,79.26499938964844,0.0
2023-04-06,80.37000274658203,80.95999908447266,79.6500015258789,80.69999694824219,80.69999694824219,0.0,80.16500091552734,81.79350280761719,79.67400360107422,80.16500091552734,80.16500091552734,0.0
2023-04-10,80.5,81.22000122070312,79.61000061035156,79.73999786376953,79.73999786376953,264906.0,81.06500244140625,82.44000244140625,80.9749984741211,81.06500244140625,81.06500244140625,0.0
2023-04-11,79.87999725341797,81.58999633789062,79.37000274658203,81.52999877929688,81.52999877929688,309683.0,81.625,82.63700103759766,81.625,81.625,81.625,0.0
2023-04-12,81.44000244140625,83.52999877929688,81.27999877929688,83.26000213623047,83.26000213623047,356133.0,81.06500244140625,82.65149688720703,81.06500244140625,81.06500244140625,81.06500244140625,0.0
2023-04-13,83.22000122070312,83.44000244140625,82.11000061035156,82.16000366210938,82.16000366210938,261230.0,82.01499938964844,82.3499984741211,81.15899658203125,82.01499938964844,82.01499938964844,0.0
2023-04-14,82.4000015258789,83.12000274658203,81.76000213623047,82.5199966430664,82.5199966430664,275129.0,81.66500091552734,82.22550201416016,81.17500305175781,81.66500091552734,81.66500091552734,0.0
2023-04-17,82.4800033569336,82.70999908447266,80.47000122070312,80.83000183105469,80.83000183105469,217048.0,81.51499938964844,82.13999938964844,81.17500305175781,81.51499938964844,81.51499938964844,0.0
