Date,CL=F,RUB=X
2023-01-03,76.93000030517578,70.99549865722656
2023-01-04,72.83999633789062,73.01499938964844
2023-01-05,73.66999816894531,72.46499633789062
2023-01-06,73.7699966430664,72.11499786376953
2023-01-09,74.62999725341797,72.46499633789062
2023-01-10,75.12000274658203,69.87999725341797
2023-01-11,77.41000366210938,69.63999938964844
2023-01-12,78.38999938964844,69.11900329589844
2023-01-13,79.86000061035156,67.75
2023-01-17,80.18000030517578,68.71499633789062
2023-01-18,79.4800033569336,68.46499633789062
2023-01-19,80.33000183105469,68.71499633789062
2023-01-20,81.30999755859375,69.36499786376953
2023-01-23,81.62000274658203,68.21499633789062
2023-01-24,80.12999725341797,68.94499969482422
2023-01-25,80.1500015258789,69.41500091552734
2023-01-26,81.01000213623047,69.19499969482422
2023-01-27,79.68000030517578,69.46499633789062
2023-01-30,77.9000015258789,70.69249725341797
2023-01-31,78.87000274658203,69.87999725341797
2023-02-01,76.41000366210938,70.55000305175781
2023-02-02,75.87999725341797,69.9000015258789
2023-02-03,73.38999938964844,75.03099822998047
2023-02-06,74.11000061035156,70.61499786376953
2023-02-07,77.13999938964844,71.4749984741211
2023-02-08,78.47000122070312,72.0999984741211
2023-02-09,78.05999755859375,73.22100067138672
2023-02-10,79.72000122070312,73.00499725341797
2023-02-13,80.13999938964844,73.07499694824219
2023-02-14,79.05999755859375,74.06400299072266
2023-02-15,78.58999633789062,73.56500244140625
2023-02-16,78.48999786376953,73.96499633789062
2023-02-17,76.33999633789062,74.68000030517578
2023-02-21,76.16000366210938,75.46399688720703
2023-02-22,73.94999694824219,74.61499786376953
2023-02-23,75.38999938964844,74.86499786376953
2023-02-24,76.31999969482422,75.36499786376953
2023-02-27,75.68000030517578,75.9800033569336
2023-02-28,77.05000305175781,74.61499786376953
2023-03-01,77.69000244140625,75.01499938964844
2023-03-02,78.16000366210938,75.2300033569336
2023-03-03,79.68000030517578,75.48999786376953
2023-03-06,80.45999908447266,75.36499786376953
2023-03-07,77.58000183105469,75.36499786376953
2023-03-08,76.66000366210938,75.56500244140625
2023-03-09,75.72000122070312,76.01499938964844
2023-03-10,76.68000030517578,75.81500244140625
2023-03-13,74.80000305175781,76.16500091552734
2023-03-14,71.33000183105469,75.51499938964844
2023-03-15,67.61000061035156,75.71499633789062
2023-03-16,68.3499984741211,5.0
2023-03-17,66.73999786376953,76.46499633789062
2023-03-20,67.63999938964844,76.92500305175781
2023-03-21,69.33000183105469,77.46499633789062
2023-03-22,70.9000015258789,77.21499633789062
2023-03-23,69.95999908447266,76.88999938964844
2023-03-24,69.26000213623047,75.96499633789062
2023-03-27,72.80999755859375,77.24500274658203
2023-03-28,73.19999694824219,76.5
2023-03-29,72.97000122070312,76.5250015258789
2023-03-30,74.37000274658203,77.29000091552734
2023-03-31,75.66999816894531,77.23999786376953
2023-04-03,80.41999816894531,77.96499633789062
2023-04-04,80.70999908447266,78.61499786376953
2023-04-05,80.61000061035156,79.26499938964844
2023-04-06,80.69999694824219,80.16500091552734
2023-04-10,79.73999786376953,81.06500244140625
2023-04-11,81.52999877929688,81.625
2023-04-12,83.26000213623047,81.06500244140625
2023-04-13,82.16000366210938,82.01499938964844
2023-04-14,82.5199966430664,81.66500091552734
2023-04-17,80.83000183105469,81.51499938964844
2023-04-18,80.86000061035156,82.01499938964844
2023-04-19,79.16000366210938,81.76499938964844
2023-04-20,77.29000091552734,81.66500091552734
2023-04-21,77.87000274658203,81.76499938964844
2023-04-24,78.76000213623047,81.41500091552734
2023-04-25,77.06999969482422,81.45999908447266
2023-04-26,74.30000305175781,80.81600189208984
2023-04-27,74.76000213623047,81.76499938964844
2023-04-28,76.77999877929688,81.81500244140625
2023-05-01,75.66000366210938,80.41500091552734
2023-05-02,71.66000366210938,80.66500091552734
2023-05-03,68.5999984741211,80.07499694824219
2023-05-04,68.55999755859375,79.46499633789062
2023-05-05,71.33999633789062,78.46499633789062
2023-05-08,73.16000366210938,77.7750015258789
2023-05-09,73.70999908447266,77.69000244140625
2023-05-10,72.55999755859375,77.96499633789062
2023-05-11,70.87000274658203,77.69000244140625
2023-05-12,70.04000091552734,76.96499633789062
2023-05-15,71.11000061035156,77.32499694824219
2023-05-16,70.86000061035156,79.71499633789062
2023-05-17,72.83000183105469,80.45500183105469
2023-05-18,71.86000061035156,79.71499633789062
2023-05-19,71.55000305175781,80.36499786376953
2023-05-22,71.98999786376953,80.06500244140625
2023-05-23,72.91000366210938,80.46499633789062
2023-05-24,74.33999633789062,80.125
2023-05-25,71.83000183105469,80.06500244140625
2023-05-26,72.66999816894531,79.98999786376953
2023-05-30,69.45999908447266,80.21499633789062
2023-05-31,68.08999633789062,79.61000061035156
2023-06-01,70.0999984741211,81.51499938964844
2023-06-02,71.73999786376953,80.96499633789062
2023-06-05,72.1500015258789,80.76499938964844
2023-06-06,71.73999786376953,80.56500244140625
2023-06-07,72.52999877929688,81.31500244140625
2023-06-08,71.29000091552734,81.51499938964844
2023-06-09,70.16999816894531,81.9749984741211
2023-06-12,67.12000274658203,82.69000244140625
2023-06-13,69.41999816894531,83.84500122070312
2023-06-14,68.2699966430664,83.91500091552734
2023-06-15,70.62000274658203,83.96499633789062
2023-06-16,71.77999877929688,83.44499969482422
2023-06-20,70.5,83.81500244140625
2023-06-21,72.52999877929688,84.71399688720703
2023-06-22,69.51000213623047,83.61499786376953
2023-06-23,69.16000366210938,80.94999694824219
2023-06-26,69.37000274658203,83.61499786376953
2023-06-27,67.69999694824219,84.375
2023-06-28,69.55999755859375,85.33999633789062
